Timestamp,F3,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,word_label
19.40754628181457,13,36,8,29,22,58,5,-38,-70,-9,-15,-30,2,sil
1.2068426609039309,-48,-24,-32,-57,-19,-113,-23,5,-2,-3,-21,-10,-36,hello
2.6189889907836914,10,3,14,13,19,10,2,3,-8,-4,12,-4,7,sil
21.15791416168213,0,-12,44,-22,47,-3,43,73,25,-1,-7,-3,-18,sil
19.56874442100525,-38,-21,-50,-26,-4,-30,-6,5,-14,0,-28,-30,-34,goodbye
18.20114493370056,-25,-37,-20,-23,-2,-1,-18,-63,-16,-39,-22,-26,-10,sil
13.48762822151184,1,-67,-6,-41,-7,-5,-41,-10,-10,3,-13,0,13,sil
22.30157995223999,30,15,28,45,4,40,4,-7,-7,-2,7,0,1,sil
24.402709007263184,-19,-15,-59,-10,-37,-48,-16,-11,-9,-25,-9,-24,-37,goodbye
23.723017930984497,-4,26,3,34,2,-9,-14,-14,-3,9,10,10,-11,sil
5.275889873504639,20,22,4,19,20,0,-8,-34,-16,17,26,12,31,sil
0.7632269859313965,1,43,9,0,7,44,40,13,-1,6,23,6,2,hello
21.17199468612671,-55,-2,-28,11,1,0,0,-15,1,-48,-31,-37,-49,sil
19.413517236709595,-9,4,30,8,11,-29,-18,5,-5,6,20,5,-1,hello
0.5627129077911377,-16,-8,-27,4,-10,0,4,-14,-20,-7,-17,-3,-11,sil
5.61795711517334,12,2,6,3,13,-11,-21,-7,40,21,15,46,21,sil
3.3719959259033203,0,11,10,-48,0,-51,-8,-6,-2,2,20,9,20,sil
28.027023315429688,2,-25,-14,7,12,0,0,-8,9,-10,-6,11,17,sil
10.53462052345276,74,51,20,19,32,56,64,82,74,36,58,82,82,sil
17.81275248527527,-3,41,7,36,-4,-14,6,5,5,11,9,-4,9,sil
12.434289455413818,3,9,2,-2,13,13,6,8,7,1,1,19,13,sil
4.4329023361206055,-8,-11,-20,0,-2,4,20,3,-6,-4,-7,-3,-7,sil
13.080227851867676,3,1,2,0,19,-17,10,23,34,13,22,52,39,sil
27.989516735076904,11,49,-11,41,4,83,20,7,-3,0,0,0,-22,sil
12.341144323349,-23,-28,-2,-33,-16,-64,-13,11,0,2,5,5,7,hello
9.864228248596191,-21,-10,-12,-14,-25,-25,-24,-9,-28,-8,-29,-42,-47,sil
5.451909065246582,18,17,27,13,22,2,-24,-24,-31,1,4,5,-1,sil
24.58397078514099,15,-1,17,11,-23,-22,-20,-29,-24,-35,-12,-38,-15,sil
3.291149377822876,-18,-16,-39,27,3,54,7,-14,-25,-11,-27,-39,-36,goodbye
10.715257167816162,19,20,19,19,28,40,5,1,0,-5,0,2,-9,sil
22.77098202705384,-1,-6,-13,-13,-19,-27,5,4,17,2,2,17,8,sil
19.744580030441284,-16,39,-2,21,1,4,36,3,6,-9,1,-1,-29,sil
3.8917698860168457,-1,-8,-3,7,0,7,-19,-3,-22,13,-14,-30,6,sil
25.545695304870605,-21,-16,-57,23,-17,-1,-36,-63,-68,-22,-56,-77,-73,sil
0.0579729080200195,21,55,10,50,13,115,23,10,27,9,9,8,10,sil
0.1304597854614257,65,32,63,14,0,-8,-24,10,26,11,53,61,62,sil
18.567863941192627,-2,-25,-8,-34,6,-51,2,24,18,10,5,20,13,goodbye
23.64814329147339,-22,-27,-29,-47,4,-51,-6,-15,-52,0,-2,-30,2,sil
25.845603704452515,-31,-5,-23,-4,0,-14,0,-11,-31,2,-16,-33,-50,sil
1.110220432281494,-4,-14,-15,-5,-15,-3,-11,-24,-13,-8,0,-17,-12,sil
22.779833793640137,-2,-19,10,-26,-14,-25,-38,-16,-32,-23,-11,-36,-18,sil
0.6497385501861572,-33,-112,-15,-67,17,27,-16,18,-3,-15,-44,0,-27,yes
17.031795978546143,-33,-35,-19,-2,34,7,39,53,29,1,-9,25,-4,sil
10.665056943893433,-26,-26,-36,-12,-7,-12,4,2,3,-12,-15,-6,-7,sil
16.063551902770996,21,-33,18,-96,2,-24,-23,5,4,16,-7,22,32,sil
12.748369932174684,10,30,0,30,-7,48,1,-13,6,19,22,14,14,sil
7.965316534042358,17,13,22,-16,1,-47,-31,-8,0,12,23,20,12,sil
2.3703091144561768,3,8,-6,-1,-21,-1,-14,-9,-7,1,-3,-23,-16,sil
0.4940283298492431,19,6,19,-8,-8,-21,-23,-11,0,-73,22,13,25,goodbye
2.449031352996826,-7,-10,-4,4,4,12,-3,0,-2,-8,-16,-12,-20,sil
